Restaurant Name,Address
Camino Alto,"1715 Union Street, San Francisco"
Brandon Fryberger,"1715 Union Street, San Francisco"
Roam Artisan Burgers,"1785 Union Street, San Francisco"
Dumpling Union,"1809 Union Street, San Francisco"
Roaming Goat,"1830 Union Street, San Francisco"
Kaiyo Cow Hollow,"1838 Union Street, San Francisco"
Trinity Bar & Restaurant,"1851 Union Street, San Francisco"
Boto Restaurant & Bar,"1853 Union Street, San Francisco"
6 Tables,"1849 Union Street, San Francisco"
Starbucks,"1899 Union Street, San Francisco"
Sacred Taco,"1875 Union Street, San Francisco"
The Italian Homemade Company,"1919 Union Street, San Francisco"
Left Door,"1905 Union Street, San Francisco"
Perry's on Union,"1944 Union Street, San Francisco"
The Blue Light,"1979 Union Street, San Francisco"
Extreme Pizza,"1980 Union Street, San Francisco"
Uncle Boy's at Union Street Ale House,"1980 Union Street B, San Francisco"
Pizzalicious,"1977A Union Street, San Francisco"
The Mini Chameleon,"1994 Union Street, San Francisco"
Daily Driver Union,"1977 Union Street B, San Francisco"
pacific heights crepes,"1977 Union Street, San Francisco"
Wildseed,"2000 Union Street, San Francisco"
Flores San Francisco,"2030 Union Street, San Francisco"
Hunan Empire Restaurant,"2001 Union Street, San Francisco"
Palm House,"2032 Union Street, San Francisco"
Earthbar,"2055-A Union Street, San Francisco"
"Joyride Pizza, Union St","2055 B Union Street, San Francisco"
The Brixton,"2140 Union Street, San Francisco"
Casaro Osteria,"2136 Union Street, San Francisco"
Pressed Juicery,"2162A Union Street, San Francisco"
Palmetto Superfoods,"2150 Union Street, San Francisco"
The Roll,"2184 Union Street, San Francisco"
Sushi Hakko,"2184 Union Street, San Francisco"
